  Ti183:     6: 6100, 14685, 15464, 5512, 6104, 5691
  Ti184:     5: 70, 5099, 6154, 15514, 14676
  Ti185:     5: 14782, 5566, 6395, 5189, 368
  Ti186:     6: 5285, 6126, 14845, 15486, 14684, 15161
  Ti187:     5: 15138, 15257, 5437, 4917, 6318
  Ti188:     5: 699, 15070, 14745, 5332, 6351
  Ti189:     5: 15304, 15675, 6768, 911, 5441
  Ti190:     5: 6316, 494, 5344, 15196, 14854
  Ti191:     6: 15320, 5934, 4936, 5970, 5004, 756
  Ti192:     5: 4658, 5588, 801, 15145, 14882
  Ti193:     5: 15255, 6769, 6575, 14925, 5846
  Ti194:     5: 4773, 4991, 5806, 15007, 6046
  Ti195:     5: 161, 5687, 4700, 667, 5133
  Ti196:     5: 4850, 5771, 5876, 726, 5025
  Ti197:     6: 5715, 14996, 15355, 5253, 6143, 6724
  Ti198:     5: 938, 6782, 5446, 6705, 15266
  Ti199:     5: 15432, 898, 5743, 15217, 5065
  Ti200:     5: 5411, 6341, 15371, 15674, 4948
  Ti201:     5: 15440, 6860, 1012, 6855, 15400
  Ti202:     5: 4672, 5609, 14867, 15213, 5240
  Ti203:     5: 5053, 5966, 6739, 5955, 987
  Ti204:     5: 5110, 6148, 15508, 15181, 319
  Ti205:     5: 15292, 4593, 15574, 6324, 5454
  Ti206:     5: 69, 5222, 6153, 15513, 505
  Ti207:     5: 25, 14750, 5621, 15124, 5474
  Ti208:     5: 4587, 5514, 14865, 5983, 598
  Ti209:     5: 34, 14689, 6122, 4582, 15478
  Ti210:     5: 5605, 5674, 6760, 15285, 15272
  Ti211:     6: 5536, 15103, 5177, 748, 14758, 6643
  Ti212:     5: 5722, 6718, 15296, 5311, 868
  Ti213:     6: 15315, 15336, 820, 4858, 5624, 4771
  Ti214:     5: 6207, 15566, 14856, 14724, 15264
  Ti215:     5: 15135, 6391, 5371, 604, 6193
  Ti216:     5: 4837, 5681, 15141, 6421, 15234
  Ti217:     5: 5102, 14732, 6268, 22, 281
  Ti218:     6: 4699, 5564, 14774, 14905, 771, 15577
  Ti219:     5: 20, 5088, 15466, 95, 5079
  Ti220:     5: 13, 5152, 6097, 15457, 5489
  Ti221:     5: 6125, 14831, 15485, 5570, 41
  Ti222:     5: 5098, 15530, 5620, 42, 86
