  Ti560:     4: 32, 5715, 13791, 13287
  Ti561:     3: 13668, 569, 4810
  Ti562:     3: 109, 4633, 13868
  Ti563:     3: 13464, 4355, 398
  Ti564:     3: 13378, 5431, 13458
  Ti565:     4: 5003, 255, 5109, 4381
  Ti566:     3: 4321, 5133, 13627
  Ti567:     4: 5613, 13284, 13761, 4539
  Ti568:     3: 4461, 5250, 13628
  Ti569:     3: 15, 13259, 4582
  Ti570:     3: 4848, 5561, 5281
  Ti571:     3: 13415, 13774, 4560
  Ti572:     3: 5421, 13676, 5604
  Ti573:     4: 4224, 4724, 382, 4996
  Ti574:     3: 4474, 13718, 5684
  Ti575:     3: 4811, 462, 133
  Ti576:     3: 4477, 5450, 13616
  Ti577:     3: 13504, 4794, 5097
  Ti578:     4: 4569, 13831, 242, 5652
  Ti579:     3: 13397, 5426, 4826
  Ti580:     3: 4424, 5211, 13363
  Ti581:     3: 150, 13909, 4944
  Ti582:     3: 13692, 5730, 5449
  Ti583:     3: 4417, 13582, 5107
  Ti584:     3: 13632, 5586, 4527
  Ti585:     3: 4843, 13898, 13677
  Ti586:     3: 4365, 5308, 4846
  Ti587:     3: 4398, 5286, 13572
  Ti588:     3: 4257, 5193, 13657
  Ti589:     3: 13519, 5515, 502
  Ti590:     3: 4571, 13427, 13800
  Ti591:     3: 4198, 4601, 5798
  Ti592:     3: 41, 13290, 5731
  Ti593:     4: 45, 5736, 13804, 13291
  Ti594:     3: 4208, 13409, 13265
  Ti595:     2: 4445, 13477
  Ti596:     4: 8, 5625, 13767, 4623
  Ti597:     3: 13729, 618, 5647
  Ti598:     4: 4219, 4963, 13294, 4218
  Ti599:     3: 5307, 13679, 4502
  Ti600:     3: 5842, 13875, 4909
  Ti601:     4: 5048, 266, 13328, 4282
  Ti602:     3: 116, 4781, 13339
  Ti603:     3: 33, 5716, 4619
  Ti604:     3: 4331, 4694, 13637
  Ti605:     3: 23, 13260, 13782
  Ti606:     2: 5594, 5218
  Ti607:     3: 5689, 13459, 4658
  Ti608:     3: 13698, 5671, 600
  Ti609:     3: 4241, 13377, 4758
  Ti610:     3: 4506, 13735, 619
  Ti611:     3: 13892, 5863, 4268
  Ti612:     3: 4396, 5368, 13463
  Ti613:     3: 141, 13392, 13900
  Ti614:     3: 13, 4564, 13772
  Ti615:     4: 13523, 5874, 4932, 423
  Ti616:     3: 4394, 5139, 13314
  Ti617:     3: 4325, 518, 5516
  Ti618:     3: 13682, 559, 5653
  Ti619:     3: 13608, 371, 5411
  Ti620:     3: 5264, 4940, 4469
  Ti621:     3: 139, 5871, 13393
  Ti622:     3: 147, 5881, 13906
  Ti623:     3: 5078, 13503, 410
  Ti624:     3: 4391, 5170, 13401
  Ti625:     3: 13366, 5394, 4647
  Ti626:     3: 4639, 13533, 332
  Ti627:     3: 90, 13301, 13849
  Ti628:     3: 4194, 13433, 13828
  Ti629:     4: 59, 4573, 5756, 13818
  Ti630:     3: 69, 5770, 4736
  Ti631:     3: 4413, 5245, 4871
  Ti632:     3: 26, 5700, 13785
  Ti633:     3: 13689, 572, 5638
  Ti634:     3: 13282, 13864, 5120
  Ti635:     3: 5398, 13625, 4459
  Ti636:     3: 13455, 4630, 373
  Ti637:     4: 4684, 13814, 5302, 13432
  Ti638:     4: 4266, 4757, 13505, 5946
  Ti639:     3: 4193, 5827, 13792
  Ti640:     3: 4820, 5855, 13886
  Ti641:     3: 4238, 13449, 5249
  Ti642:     2: 13394, 5599
  Ti643:     3: 5054, 5323, 130
  Ti644:     3: 4832, 13601, 5579
  Ti645:     3: 5858, 13889, 13497
  Ti646:     3: 4361, 13650, 516
  Ti647:     3: 5087, 5937, 4783
  Ti648:     3: 4233, 5174, 13416
